Speed,Angel,Timestamp,State
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[29, 36, -27, -44]","[5384, 3245, 7323, 31783]","[348546, 348547, 348549, 348544]","[0, 0, 0, 0]"
"[42, 56, -63, -44]","[3465, 28556, 6317, 3179]","[353226, 353227, 353229, 353224]","[0, 0, 0, 0]"
"[42, 56, -63, -44]","[3465, 28556, 6317, 3179]","[353226, 353227, 353229, 353224]","[0, 0, 0, 0]"
"[42, 56, -63, -44]","[3465, 28556, 6317, 3179]","[353226, 353227, 353229, 353224]","[0, 0, 0, 0]"
"[42, 56, -63, -44]","[3465, 28556, 6317, 3179]","[353226, 353227, 353229, 353224]","[0, 0, 0, 0]"
"[42, 56, -63, -44]","[3465, 28556, 6317, 3179]","[353226, 353227, 353229, 353224]","[0, 0, 0, 0]"
"[42, 56, -63, -44]","[3465, 28556, 6317, 3179]","[353226, 353227, 353229, 353224]","[0, 0, 0, 0]"
"[42, 56, -63, -44]","[3465, 28556, 6317, 3179]","[353226, 353227, 353229, 353224]","[0, 0, 0, 0]"
"[42, 56, -63, -44]","[3465, 28556, 6317, 3179]","[353226, 353227, 353229, 353224]","[0, 0, 0, 0]"
"[42, 56, -63, -44]","[3465, 28556, 6317, 3179]","[353226, 353227, 353229, 353224]","[0, 0, 0, 0]"
"[42, 56, -63, -44]","[3465, 28556, 6317, 3179]","[353226, 353227, 353229, 353224]","[0, 0, 0, 0]"
"[42, 56, -63, -44]","[3465, 28556, 6317, 3179]","[353226, 353227, 353229, 353224]","[0, 0, 0, 0]"
"[42, 56, -63, -44]","[3465, 28556, 6317, 3179]","[353226, 353227, 353229, 353224]","[0, 0, 0, 0]"
"[42, 56, -63, -44]","[3465, 28556, 6317, 3179]","[353226, 353227, 353229, 353224]","[0, 0, 0, 0]"
