Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.15317,0.05195,-0.98121,0.03114,0.03404,0.03637
-0.13492,0.02783,-0.99786,0.01288,-0.0237,0.01596
0.08682,-0.00267,-0.96165,-0.03858,0.01416,-0.03105
0.0678,-0.04493,-0.99604,0.02802,0.05936,0.04972
-0.09677,3e-05,-0.97922,-0.00342,0.0599,-0.02684
-0.09873,-0.01775,-1.00127,0.00578,-0.04335,0.03887
0.16197,0.01764,-0.99835,0.01622,0.035,0.02305
0.02182,-0.01506,-0.96362,0.00552,0.04964,0.02416
0.02357,0.02509,-0.99432,-0.01309,0.00513,-0.00099
-0.06183,-0.16277,-1.00576,-0.07425,0.00114,0.01905
-0.0163,-0.1011,-0.97084,0.04207,-0.00881,0.01831
0.06344,0.04772,-1.01062,0.04775,-0.01844,0.0109
-0.02439,0.00637,-0.98467,-0.01489,0.08132,0.10019
-0.05081,-0.00423,-1.00481,-0.08892,0.00012,-0.02213
0.00786,0.01762,-0.99573,0.04139,-0.01468,-0.03312
0.0343,-0.00833,-1.01479,0.03517,0.02494,0.08274
-0.02076,0.11176,-0.98072,-0.00582,0.02442,0.07099
-0.07616,0.0263,-0.98137,0.01336,-0.01096,0.03563
